epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.587,1.59156,4.34734,1.11034,0.00761,0.60161,0.1228,0.08519,1.31152,3.96698,0.96646,0.00019089,0.00019089,0.00019089
2,65.7309,1.52889,2.64485,1.06552,0.0107,0.72933,0.29843,0.22842,1.327,3.60783,0.97238,0.000352174,0.000352174,0.000352174
3,73.6577,1.50705,2.26209,1.06755,0.91908,0.13975,0.35648,0.26041,1.38775,3.30871,1.00673,0.000473862,0.000473862,0.000473862
4,81.6253,1.46134,2.01124,1.05507,0.81014,0.20375,0.33516,0.22509,1.45795,2.68905,1.05488,0.000555953,0.000555953,0.000555953
5,89.7063,1.43886,1.8091,1.04999,0.60097,0.3559,0.44384,0.30843,1.43326,2.48692,1.02485,0.000549036,0.000549036,0.000549036
6,97.7933,1.4252,1.67226,1.05889,0.57536,0.4709,0.50217,0.36224,1.3934,2.07257,1.04682,0.000459045,0.000459045,0.000459045
7,105.515,1.37132,1.51595,1.02927,0.71841,0.54116,0.65194,0.46332,1.29594,1.54183,0.99873,0.000369054,0.000369054,0.000369054
8,113.094,1.35893,1.42702,1.02809,0.73926,0.63102,0.7144,0.51346,1.25808,1.33876,0.98134,0.000279063,0.000279063,0.000279063
9,120.564,1.35356,1.37158,1.0291,0.74866,0.69374,0.74616,0.52513,1.2468,1.24176,0.98501,0.000189072,0.000189072,0.000189072
10,128.063,1.31735,1.27446,1.01054,0.76173,0.713,0.74218,0.53326,1.22951,1.22064,0.97853,9.9081e-05,9.9081e-05,9.9081e-05
