epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1942,1.11042,1.69369,3.85226,1.05531,0.7729,0.10085,0.02406,0.0171,0.7729,0.10085,0.02406,0.01663,0.91173,1.43774,3.57678,1.12157,0.0033125,0.0033125,0.0033125
2,112.028,1.01153,1.40243,1.90393,1.01912,0.69918,0.19743,0.05524,0.03875,0.69918,0.19743,0.05524,0.03751,0.90516,1.35574,3.04046,1.06917,0.00658004,0.00658004,0.00658004
3,170.674,1.01257,1.40201,1.60402,1.02474,0.59204,0.173,0.05975,0.03938,0.59204,0.173,0.05976,0.03871,1.0446,1.55093,4.823,1.13055,0.00978158,0.00978158,0.00978158
4,225.118,0.98763,1.38909,1.49579,1.02128,0.43266,0.17347,0.04672,0.03484,0.43266,0.17347,0.04672,0.03186,0.85765,1.4721,4.8215,1.06524,0.009703,0.009703,0.009703
5,278.702,0.93143,1.34309,1.39748,1.00717,0.59,0.23962,0.06248,0.05001,0.59,0.23962,0.06248,0.04638,0.78216,1.29625,4.39661,1.06128,0.009604,0.009604,0.009604
6,332.536,0.89034,1.31404,1.32776,0.99689,0.4461,0.27246,0.06055,0.04629,0.4461,0.27246,0.06055,0.03963,0.79426,1.33708,5.29982,1.06107,0.009505,0.009505,0.009505
7,386.637,0.86216,1.28204,1.29235,0.9898,0.44594,0.22242,0.06885,0.05117,0.44594,0.22242,0.06862,0.04324,0.70519,1.30093,3.72065,1.0271,0.009406,0.009406,0.009406
8,440.913,0.84752,1.2792,1.24936,0.9866,0.26622,0.42559,0.09825,0.08211,0.26622,0.42559,0.09825,0.07222,0.66527,1.22942,3.66252,1.00933,0.009307,0.009307,0.009307
9,494.728,0.83011,1.26463,1.21994,0.98308,0.50382,0.30695,0.08098,0.06809,0.50382,0.30695,0.08098,0.06278,0.65683,1.1967,4.01586,1.00292,0.009208,0.009208,0.009208
10,548.977,0.80977,1.23907,1.19232,0.97649,0.50062,0.27451,0.08002,0.06727,0.50062,0.27451,0.08002,0.05768,0.6368,1.22008,3.68456,0.99705,0.009109,0.009109,0.009109
11,603.337,0.80116,1.22985,1.1753,0.97189,0.25428,0.36525,0.07979,0.06407,0.25428,0.36525,0.07979,0.05768,0.65907,1.19919,3.81086,0.99515,0.00901,0.00901,0.00901
12,656.979,0.78116,1.21394,1.1406,0.96836,0.39132,0.29806,0.06481,0.0556,0.39132,0.29806,0.06481,0.05009,0.58501,1.18102,3.7351,0.97825,0.008911,0.008911,0.008911
