epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5564,1.14515,1.74293,3.76163,1.05682,0.72223,0.18797,0.0247,0.01697,0.72223,0.18797,0.0247,0.01711,1.01637,1.40558,3.89155,1.04562,0.000122563,0.000122563,0.000122563
2,109.631,0.96555,1.39293,1.92469,0.99473,0.7446,0.15636,0.04946,0.03717,0.7446,0.15636,0.04946,0.03665,0.85466,1.26216,3.80268,1.05321,0.000233724,0.000233724,0.000233724
3,163.264,0.89336,1.34171,1.52374,0.97851,0.59255,0.20061,0.05778,0.04491,0.59255,0.20061,0.05778,0.04257,0.80771,1.26426,3.20349,1.02676,0.000332675,0.000332675,0.000332675
4,216.173,0.84697,1.29297,1.38448,0.96973,0.44634,0.29584,0.06417,0.04653,0.44634,0.29584,0.06417,0.04607,0.83233,1.21368,3.23781,1.03195,0.000315055,0.000315055,0.000315055
5,269.278,0.81096,1.25808,1.29394,0.96138,0.50267,0.29164,0.07892,0.06274,0.50267,0.29164,0.07892,0.0559,0.68509,1.21727,4.52269,0.97573,0.00029674,0.00029674,0.00029674
6,322.358,0.78723,1.2324,1.23826,0.95643,0.56175,0.2132,0.08104,0.06695,0.56175,0.2132,0.08104,0.06184,0.67489,1.18541,4.60843,1.00476,0.000278425,0.000278425,0.000278425
7,374.989,0.76643,1.2046,1.20282,0.95172,0.34295,0.37616,0.06749,0.05556,0.34295,0.37616,0.06749,0.05094,0.67819,1.14698,3.30254,0.97222,0.00026011,0.00026011,0.00026011
8,427.55,0.75531,1.19962,1.16163,0.94726,0.52047,0.2155,0.08801,0.07398,0.52047,0.2155,0.08801,0.06561,0.62895,1.12839,4.10492,0.9744,0.000241795,0.000241795,0.000241795
9,489.404,0.73947,1.17704,1.13987,0.94444,0.50665,0.26634,0.08445,0.07137,0.50665,0.26634,0.08445,0.06517,0.5953,1.11834,4.04956,0.95618,0.00022348,0.00022348,0.00022348
10,542.283,0.72252,1.15345,1.11538,0.94019,0.4993,0.33502,0.08397,0.07035,0.4993,0.33502,0.08397,0.06359,0.60938,1.11888,3.99664,0.96497,0.000205165,0.000205165,0.000205165
11,592.042,0.65469,1.1149,1.02852,0.89517,0.11669,0.47749,0.13838,0.12341,0.11669,0.47749,0.13838,0.10765,0.60655,1.10845,4.30378,0.95345,0.00018685,0.00018685,0.00018685
12,640.714,0.61647,1.0943,0.96878,0.88405,0.20655,0.38954,0.09406,0.07785,0.20655,0.38954,0.09406,0.07397,0.65416,1.10826,4.97479,0.96203,0.000168535,0.000168535,0.000168535
13,688.908,0.59537,1.07681,0.93967,0.87411,0.15535,0.42287,0.11248,0.09575,0.15535,0.42287,0.11248,0.08739,0.63538,1.12481,4.32946,0.96204,0.00015022,0.00015022,0.00015022
14,736.882,0.57753,1.06226,0.91459,0.87129,0.16852,0.53702,0.12288,0.10918,0.16852,0.53702,0.12288,0.09446,0.5325,1.0734,3.80769,0.92417,0.000131905,0.000131905,0.000131905
15,784.662,0.56668,1.05433,0.89069,0.86694,0.21187,0.41958,0.1331,0.11951,0.21187,0.41958,0.1331,0.10088,0.55494,1.07833,4.6295,0.94359,0.00011359,0.00011359,0.00011359
16,833.086,0.5483,1.04177,0.86842,0.86081,0.20686,0.48012,0.1125,0.09211,0.20686,0.48012,0.1125,0.08827,0.72147,1.08838,4.71066,0.98101,9.5275e-05,9.5275e-05,9.5275e-05
17,882.02,0.53447,1.02967,0.85456,0.85644,0.26436,0.42445,0.11445,0.09818,0.26436,0.42445,0.11445,0.08993,0.59646,1.06322,4.30722,0.93253,7.696e-05,7.696e-05,7.696e-05
18,930.293,0.52482,1.02628,0.83892,0.85072,0.10259,0.45893,0.10612,0.09294,0.10259,0.45893,0.10612,0.08331,0.58701,1.07109,4.6255,0.93794,5.8645e-05,5.8645e-05,5.8645e-05
19,978.6,0.51788,1.01733,0.81878,0.84866,0.10337,0.44966,0.11333,0.09833,0.10337,0.44966,0.11333,0.08867,0.57439,1.05015,4.70598,0.93302,4.033e-05,4.033e-05,4.033e-05
20,1027.17,0.50663,1.00966,0.81034,0.84805,0.10244,0.4488,0.10983,0.09612,0.10244,0.4488,0.10983,0.08564,0.55064,1.04761,4.73044,0.92294,2.2015e-05,2.2015e-05,2.2015e-05
