epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.12766,0.7257,2.97811,1.11781,0.00333,0.26,0.00221,0.00086,2.53635,4.07459,2.39088,6e-05,6e-05,6e-05
2,6.28587,0.70066,2.78227,1.0688,0.00333,0.26,0.00291,0.00085,2.44272,4.06786,2.2917,0.00013307,0.00013307,0.00013307
3,7.54629,0.71347,2.16055,1.05187,0.00333,0.26,0.00402,0.00111,2.7006,4.13537,2.34038,0.00019822,0.00019822,0.00019822
4,8.76685,0.70162,1.41819,0.99707,0.00359,0.28,0.00401,0.00148,2.82454,4.11934,2.3917,0.00025545,0.00025545,0.00025545
5,9.90485,0.63575,1.08509,0.98073,0.00333,0.26,0.00294,0.00107,2.74437,4.12795,2.32735,0.00030476,0.00030476,0.00030476
6,10.9811,0.56239,0.93735,0.9794,0.00282,0.22,0.00215,0.00061,2.64071,4.19229,2.21051,0.00034615,0.00034615,0.00034615
7,12.0414,0.59109,1.02848,0.99081,0.00231,0.18,0.00182,0.00063,2.61185,4.1227,2.14208,0.00037962,0.00037962,0.00037962
8,13.099,0.56202,0.89311,0.96197,0.00308,0.24,0.00283,0.00077,2.6691,4.16528,2.16878,0.00040517,0.00040517,0.00040517
9,14.2364,0.58993,0.87576,0.9492,0.00282,0.22,0.00206,0.0008,2.57392,4.18575,2.09544,0.0004228,0.0004228,0.0004228
10,15.3729,0.56257,0.95465,0.93316,0.00282,0.22,0.00213,0.00089,2.62287,4.23923,2.17946,0.00043251,0.00043251,0.00043251
11,17.5299,0.51886,1.04133,0.89928,0.00231,0.18,0.00162,0.00074,2.68649,4.25426,2.25579,0.0004343,0.0004343,0.0004343
12,18.7236,0.60512,1.11337,0.95091,0.00179,0.14,0.00113,0.00052,2.7711,4.28825,2.29769,0.00042817,0.00042817,0.00042817
13,19.8813,0.56371,1.05855,0.93882,0.00205,0.16,0.00128,0.0006,2.84263,4.3104,2.28266,0.00041412,0.00041412,0.00041412
14,20.9399,0.53282,0.99764,0.90196,0.00282,0.22,0.00191,0.0008,2.81034,4.30649,2.26824,0.00039215,0.00039215,0.00039215
15,21.9926,0.63014,1.05416,0.98611,0.00359,0.28,0.0024,0.00105,2.68559,4.23333,2.19774,0.00036226,0.00036226,0.00036226
16,23.0457,0.51278,0.94252,0.90106,0.00333,0.26,0.00227,0.00097,2.61555,4.24512,2.16781,0.00032445,0.00032445,0.00032445
17,24.1672,0.51861,0.94241,0.90923,0.0041,0.32,0.00303,0.00102,2.63464,4.21064,2.17935,0.00027872,0.00027872,0.00027872
18,25.2554,0.50493,0.92607,0.9149,0.00282,0.22,0.00198,0.00089,2.73284,4.14403,2.28706,0.00022507,0.00022507,0.00022507
19,26.2986,0.49516,0.89093,0.91978,0.00282,0.22,0.00276,0.00108,2.7926,4.12141,2.3603,0.0001635,0.0001635,0.0001635
20,27.3389,0.50647,0.93752,0.90517,0.00231,0.18,0.00294,0.00179,2.8217,4.11573,2.38501,9.401e-05,9.401e-05,9.401e-05
