epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.134,0.71012,3.7858,1.11045,0.00274,0.12,0.00181,0.00052,2.55983,4.51551,2.42414,3.75e-05,3.75e-05,3.75e-05
2,6.31237,0.67732,3.71464,1.06493,0.00232,0.1,0.00238,0.00044,2.43298,4.50369,2.29166,8.31687e-05,8.31687e-05,8.31687e-05
3,7.46499,0.66618,3.36567,1.03697,0.00289,0.12,0.00317,0.00099,2.61875,4.4779,2.32258,0.000123888,0.000123888,0.000123888
4,8.70626,0.6794,2.74789,1.00419,0.00384,0.16,0.00459,0.00196,2.56306,4.44152,2.1686,0.000159656,0.000159656,0.000159656
5,9.85568,0.65347,2.08444,0.99916,0.00406,0.16,0.00579,0.00347,2.51868,4.40805,2.08579,0.000190475,0.000190475,0.000190475
6,10.995,0.62481,1.79139,1.00344,0.00444,0.16,0.00751,0.00378,2.50148,4.42493,2.06238,0.000216344,0.000216344,0.000216344
7,12.1401,0.65868,1.66748,1.00106,0.00575,0.14,0.01238,0.00786,2.54941,4.43907,2.14699,0.000237263,0.000237263,0.000237263
8,13.2964,0.62437,1.3241,0.97865,0.0069,0.1,0.00672,0.00448,2.62651,4.44736,2.19745,0.000253231,0.000253231,0.000253231
9,14.3688,0.6217,1.06477,0.97703,0.00926,0.1,0.0089,0.00447,2.66823,4.4628,2.15932,0.00026425,0.00026425,0.00026425
10,15.446,0.57169,1.03832,0.95605,0.00685,0.06,0.00589,0.00374,2.69078,4.44964,2.13976,0.000270319,0.000270319,0.000270319
11,17.5014,0.58905,1.20243,0.954,0.00482,0.04,0.00433,0.00346,2.66571,4.47714,2.11997,0.000271438,0.000271438,0.000271438
12,18.6719,0.64422,1.23547,0.97543,0.00289,0.04,0.00242,0.0021,2.64178,4.46685,2.10765,0.000267606,0.000267606,0.000267606
13,19.7837,0.58719,1.13981,0.95276,0.00562,0.08,0.00383,0.00206,2.60385,4.50766,2.06566,0.000258825,0.000258825,0.000258825
14,20.8536,0.51098,1.08397,0.89767,0.0066,0.08,0.00437,0.00229,2.57355,4.53205,2.03112,0.000245094,0.000245094,0.000245094
15,25.5383,0.58904,1.09193,0.95473,0.00777,0.06,0.00483,0.00275,2.6378,4.55704,2.05172,0.000226413,0.000226413,0.000226413
16,26.9796,0.47681,0.98994,0.89424,0.00517,0.04,0.00324,0.00198,2.6358,4.56727,2.0636,0.000202781,0.000202781,0.000202781
17,28.2398,0.49507,0.98314,0.89485,0.00796,0.06,0.00462,0.0032,2.6369,4.58045,2.08516,0.0001742,0.0001742,0.0001742
18,29.3151,0.49274,0.93229,0.90282,0.00725,0.06,0.00546,0.00402,2.5786,4.60472,2.06626,0.000140669,0.000140669,0.000140669
19,30.3932,0.45138,0.90465,0.89031,0.00708,0.06,0.00634,0.00483,2.58643,4.60162,2.07861,0.000102187,0.000102187,0.000102187
20,31.4367,0.46808,0.95881,0.87987,0.00686,0.06,0.00662,0.00441,2.56504,4.59408,2.08088,5.87563e-05,5.87563e-05,5.87563e-05
