epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.77458,0,0,129.087,0,0,0,0,0,0,0,0,0,0,0,114.5,0,6e-05,6e-05,6e-05
2,6.78728,0,0,129.177,0,0,0,0,0,0,0,0,0,0,0,114.5,0,0.000138614,0.000138614,0.000138614
3,7.80831,0,0,128.414,0,0,0,0,0,0,0,0,0,0,0,114.5,0,0.000215644,0.000215644,0.000215644
4,9.08243,0,0,121.462,0,0,0,0,0,0,0,0,0,0,0,114.5,0,0.00029109,0.00029109,0.00029109
5,10.2767,0,0,112.202,0,0,0,0,0,0,0,0,0,0,0,114.75,0,0.000364952,0.000364952,0.000364952
6,11.4927,0,0,106.525,0,0,0,0,0,0,0,0,0,0,0,121.938,0,0.00043723,0.00043723,0.00043723
7,12.6664,0,0,100.147,0,0,0,0,0,0,0,0,0,0,0,121.375,0,0.000507924,0.000507924,0.000507924
8,13.8608,0,0,93.7339,0,0,0,0,0,0,0,0,0,0,0,114.25,0,0.000577034,0.000577034,0.000577034
9,15.037,0,0,87.0396,0,0,0,0,0,0,0,0,0,0,0,121.062,0,0.00064456,0.00064456,0.00064456
10,16.2039,0,0,81.048,0,0,0,0,0,0,0,0,0,0,0,120.875,0,0.000710502,0.000710502,0.000710502
11,17.3817,0,0,74.5631,0,0,0,0,0,0,0,0,0,0,0,117,0,0.00077486,0.00077486,0.00077486
12,18.5776,0,0,69.3686,0,0,0,0,0,0,0,0,0,0,0,106.375,0,0.000837634,0.000837634,0.000837634
13,19.7604,0,0,64.5901,0,0,0,0,0,0,0,0,0,0,0,102.688,0,0.000898824,0.000898824,0.000898824
14,20.9242,0,0,60.6357,0,0,0,0,0,0,0,0,0,0,0,97.375,0,0.00095843,0.00095843,0.00095843
15,22.0918,0,0,57.9284,0,0,0,0,0,0,0,0,0,0,0,94.875,0,0.00101645,0.00101645,0.00101645
16,23.2575,0,0,54.4557,0,0,0,0,0,0,0,0,0,0,0,102.812,0,0.00107289,0.00107289,0.00107289
17,24.4,0,0,54.913,0,0,0,0,0,0,0,0,0,0,0,106.438,0,0.00112774,0.00112774,0.00112774
18,25.5872,0,0,53.5165,0,0,0,0,0,0,0,0,0,0,0,106.312,0,0.00118101,0.00118101,0.00118101
19,29.7247,0,0,56.6224,0,0,0,0,0,0,0,0,0,0,0,85.375,0,0.0012327,0.0012327,0.0012327
20,31.1923,0,0,51.3621,0,0,0,0,0,0,0,0,0,0,0,430,0,0.0012828,0.0012828,0.0012828
21,32.405,0,0,49.6206,0,0,0,0,0,0,0,0,0,0,0,65.25,0,0.00133132,0.00133132,0.00133132
22,33.6256,0,0,49.4256,0,0,0,0,0,0,0,0,0,0,0,26.0781,0,0.00137825,0.00137825,0.00137825
23,35.9881,0,0,46.4523,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.0014236,0.0014236,0.0014236
24,37.3559,0,0,43.8745,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.00146737,0.00146737,0.00146737
25,38.5259,0,0,42.1809,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.00150955,0.00150955,0.00150955
